,compound_id,base_rdkit_smiles,relation,PXC50,active
0,CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,,4.54,0
1,CHEMBL567911,Cc1c[nH]c2c(Nc3cccc(Cl)c3)ncc(C(=O)N3CCOCC3)c12,,5.33,0
2,CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,,4.99,0
3,CHEMBL2170607,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)C3CC3)CC2)c(C(F)(F)F)c1,,5.22,0
4,CHEMBL2048183,COc1ccc(C(C)=O)cc1CSc1nc2ccccc2n1CC(=O)O,,4.62,0
5,CHEMBL596133,CS(=O)(=O)NC1CC12CCN(S(=O)(=O)c1cc(Cl)ccc1S(=O)(=O)c1ccccc1F)CC2,,4.904999999999999,0
6,CHEMBL4078588,Cc1ccc(Cc2cc3c(=O)n([C@H]4CCCC[C@@H]4O)cnc3c3ccccc23)cn1,,4.88,0
7,CHEMBL3921690,COc1cc(-c2ccc(F)c(C)c2)ccc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,,5.64,0
8,CHEMBL3627896,Cc1ncn(-c2cc(Cl)c(C(=O)NC[C@@H](c3cccc(F)c3)c3nc4c(C)cc(Cl)cc4[nH]3)c(Cl)c2)n1,,4.65,0
9,CHEMBL3331484,Clc1ccc(CN(C2CC2)C2CNC2)cc1Cl,,4.89,0
10,CHEMBL498252,Cc1nc2c3c(c(-n4cncn4)cn2c1C)CC[C@@H](c1ccccc1)N3,,4.85,0
11,CHEMBL3330442,O=C(NC[C@@H]1OC(=O)N2c3ccc(N4CCOCC4=O)cc3OC[C@@H]12)c1ccc(Cl)s1,,4.36,0
12,CHEMBL595481,CCCC1(CNS(=O)(=O)C(F)(F)F)CCN(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)CC1,,5.7,0
13,CHEMBL3664670,Cc1cc(-c2ccc([C@H](C)N3CC[C@](CC(C)(C)O)(c4ccccc4)OC3=O)cc2)cc(=O)n1C,,4.48,0
14,CHEMBL1784164,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,,5.7,0
15,CHEMBL375955,O=C(NCc1ccncc1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,,6.05,1
16,CHEMBL331485,CCCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,,4.3,0
17,CHEMBL553174,Cc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)cn1,,8.0,1
18,CHEMBL3905467,CN[C@@H](C)C(=O)Nc1ccc(-c2c(-c3cncn3C)nc3cc(C)ccn23)c(C#Cc2ccc3c(C)nccc3c2)n1,,4.57,0
19,CHEMBL452101,O=C1/C(=C/c2ccc(O)cc2)CC/C1=C\c1ccc(O)cc1,,5.0,0
20,CHEMBL4086008,CN(C/C=C/c1ccc(-c2ccccc2)cc1)Cc1coc2ccccc12,,5.0,0
21,CHEMBL233245,O=C(O)c1cnnc(C2=C(c3cc(Cl)ccc3OCc3ccc(F)cc3F)CCC2)c1,,5.27,0
22,CHEMBL3353340,O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2c(/C=C/c3ccncc3)n[nH]c2c1,,7.52,1
23,CHEMBL496400,Cc1cccc(C)c1CNc1cc(N2CCCCC2=O)cn2c(C)c(C)nc12,,4.85,0
24,CHEMBL477563,Cc1nc2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc2n1C,,5.05,0
25,CHEMBL4555459,O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1N1CCCC1,,5.75,0
26,CHEMBL2070140,CCCS(=O)(=O)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3)nc2c1,,5.02,0
27,CHEMBL469227,Oc1cccc(-c2ccc3c(-c4ccccc4)c(O)ccc3c2)c1,,5.79,0
28,CHEMBL3682506,COc1cc2ccc(C(C(C)C)n3ncnn3)cc2cc1OC,,5.32,0
29,CHEMBL3664695,C[C@@H](c1ccc(-c2ccc(=O)n(C(F)F)c2)cc1)N1CC[C@](CC(C)(C)O)(c2ccccc2)OC1=O,,4.77,0
30,CHEMBL2387594,CCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,,4.68,0
31,CHEMBL2441342,Cn1cc(-c2ccc3c(c2F)CCN3C(=O)Cc2cccc(C(F)(F)F)n2)c2c(N)ncnc21,,4.72,0
32,CHEMBL3916932,O=C(C1=CC=NC2NC=CC12)c1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1,,5.52,0
33,CHEMBL4203293,COc1cc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cc(OCCO)c1,,5.51,0
34,CHEMBL219098,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Oc3cccc4ccccc34)sc21,,5.33,0
35,CHEMBL1079436,Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)[nH]c12,,4.21,0
36,CHEMBL2018925,COc1ccc2[nH]c(SCc3cccc(Oc4ccccc4)c3)nc2c1,,6.02,1
37,CHEMBL3260743,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O,,5.38,0
38,CHEMBL3891956,CC(C)(C)OC(=O)N1CCCC(CCNC(=O)c2cc3cnccc3[nH]2)C1,,5.47,0
39,CHEMBL2204359,Clc1ccc(Sc2ccccc2N2CCNCC2)c(Cl)c1,,4.47,0
40,CHEMBL271622,COc1ccc(-c2cc(CNS(=O)(=O)c3ccccc3)on2)cc1,,4.41,0
41,CHEMBL1650526,FC(F)(F)Oc1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,,5.0,0
42,CHEMBL1170482,O=C(Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccccc21)N(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCNCC1,,4.8,0
43,CHEMBL3234568,CN1CCN(c2cc(N3CCC[C@@H](C(=O)NCCc4ccc(C#N)cc4)C3)nc(C(F)(F)F)n2)CC1,,5.33,0
44,CHEMBL4218772,COCCNc1cc(O)c2c(=O)c3c(-c4nccs4)[nH]c(Cc4ccc5c(c4)OCO5)c3oc2c1,,6.87,1
45,CHEMBL475817,Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,,6.16,1
46,CHEMBL3983367,COc1cc(-c2cc(F)cc(F)c2)c(Cl)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,,5.72,0
47,CHEMBL586818,CC(C)(C)C(=O)C(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,,6.16,1
48,CHEMBL2070155,CCS(=O)(=O)c1ccc2[nH]c(-c3cc(-c4ccccc4)ccn3)nc2c1,,5.0,0
49,CHEMBL101180,CC(C)c1ccc(N/C=N/O)cc1,,4.52,0
50,CHEMBL2425952,CCc1nc2c(Cc3ccc(C(=O)NO)cc3)cccc2c(=O)n1CCc1ccccc1,,5.68,0
51,CHEMBL204772,Cc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C,,5.6,0
52,CHEMBL3417511,CC(C)(O)Cn1cc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)cc4)CCC3)no2)cn1,,5.22,0
53,CHEMBL3608920,COC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc2c(c1)C(C)(C)c1cc(NC(=O)[C@@H]3CCCN3C(=O)[C@H](NC(=O)OC)c3ccccc3)ccc1-2)c1ccccc1,,6.57,1
54,CHEMBL3261407,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2ccc(F)cc2)c(C)c1,,5.1,0
55,CHEMBL4217988,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1,,5.43,0
56,CHEMBL561696,CSc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,,4.85,0
57,CHEMBL3310485,Fc1cccc(OC(CC2CNC2)c2ccc(Cl)c(F)c2)c1,,5.51,0
58,CHEMBL4173088,Cc1ccncc1C#CCN,,4.44,0
59,CHEMBL585848,Cc1ccc(F)cc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(C(=O)[C@H](C)O)C1,,4.96,0
60,CHEMBL2420620,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cc2cnccc2[nH]1,,7.22,1
61,CHEMBL2019026,Nc1ccc2[nH]c(SCc3ccccn3)nc2c1,,5.16,0
62,CHEMBL1272135,COc1cccc(NC(=O)Nc2cccn(Cc3c(F)cccc3Cl)c2=O)c1,,5.43,0
63,CHEMBL4560579,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,,4.6,0
64,CHEMBL4164113,NCC#Cc1cnccc1-c1ccccc1,,5.52,0
65,CHEMBL1836215,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,,5.37,0
66,CHEMBL1615150,Cc1cc(C(=O)O)ccc1NC(=O)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,,4.72,0
67,CHEMBL12131,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,,5.7,0
68,CHEMBL4068896,C=CC(=O)Nc1cccc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,,6.05,1
69,CHEMBL4454941,COc1ccccc1C1C(C(=O)C(C)C)=C(O)C(=O)N1c1ccc(-c2ccsc2)cc1,,4.75,0
70,CHEMBL364713,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,,5.09,0
71,CHEMBL3764044,CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)Cc3cccc(-c4ccccc4)c3)ccc2O1,,4.64,0
72,CHEMBL258199,Cc1cc(NC(=O)OC(C)(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1,,4.8,0
73,CHEMBL1232887,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cn1,,4.4,0
74,CHEMBL2419518,CC(C)n1cc(S(=O)(=O)c2ccc(CNC(=O)N3Cc4ccncc4C3)cc2)cn1,,7.14,1
