,compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments,pDTC_Value,SMILES,base_rdkit_smiles
78,CHEMBL3262143,ABWJEIIFONCFKT-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,=,28.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,28.0,C1CN(C(CN1)COC2=CN=CC=C2)C3=NC4=C(C=CC=C4S3)F.Cl,Fc1cccc2sc(N3CCNCC3COc3cccnc3)nc12
400,CHEMBL2087450,AEZVYNVHNCDBQX-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,11.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,11.0,C1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=C(C=C3)C(F)(F)F,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(C(F)(F)F)cc2)[nH]n1
433,CHEMBL1643880,AFUWQWYPPZFWCO-LBPRGKRZSA-N,PUMOSETRAG,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21146988.0,IC50,<,10000.0,NM,,,,,,,,,,,,,,,Inhibition of human CYP2C9,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,PUBLICATION,,5.0,C1CN2CCC1[C@H](C2)NC(=O)C3=CNC4=C(C3=O)SC=C4,O=C(N[C@H]1CN2CCC1CC2)c1c[nH]c2ccsc2c1=O
663,CHEMBL399045,AKKGFQRBBVGLEB-KRXBUXKQSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,17869105.0,IC50,>,40000.0,NM,,,,,,,,,,,,,,,Inhibition of human CYP2C9,Synthesis and biological evaluation of phenyl piperidine derivatives as CCR2 antagonists.,Bioorg. Med. Chem. Lett.,PUBLICATION,,4.3979400086720375,C1CN(CCC1CN2CCC(CC2)C3=CC=C(C=C3)Cl)C(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl,O=C(/C=C/c1ccc(Cl)c(Cl)c1)N1CCC(CN2CCC(c3ccc(Cl)cc3)CC2)CC1
858,CHEMBL68131,AOOSJYIINXVNHV-UHFFFAOYSA-N,SB-204070,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inconclusive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)N)Cl,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1
859,CHEMBL68131,AOOSJYIINXVNHV-UHFFFAOYSA-N,SB-204070,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,39810.7,NM,Not Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,4.40000018605658,CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)N)Cl,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1
1203,CHEMBL2086583,AWJOXQPKTMMFHH-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-13.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-13.0,CC1=C(NN=C1NC(=O)CCCCN2CCCN(CC2)C(=O)C)C3=CC=C(C=C3)OC,COc1ccc(-c2[nH]nc(NC(=O)CCCCN3CCCN(C(C)=O)CC3)c2C)cc1
1461,CHEMBL11,BCGWQEUPMDMJNV-UHFFFAOYSA-N,IMIPRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21467212.0,INHIBITION,<,10.0,%,,,,,,,,,,,,,,,Time dependent inhibition of CYP2C9 (unknown origin) at 100 uM by LC/MS system,Combination of GSH trapping and time-dependent inhibition assays as a predictive method of drugs generating highly reactive metabolites.,Drug Metab. Dispos.,PUBLICATION,,10.0,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCCN1c2ccccc2CCc2ccccc21
1462,CHEMBL11,BCGWQEUPMDMJNV-UHFFFAOYSA-N,IMIPRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22931300.0,INHIBITION,,,,Active,,,,,,,,,,,,,,Inhibition of human CYP2C9 assessed as ratio of IC50 in absence of NADPH to IC50 for presence of NADPH using 7-methoxy-4-trifluoromethylcoumarin-3-acetic acid as substrate after 30 mins,Preclinical strategy to reduce clinical hepatotoxicity using in vitro bioactivation data for >200 compounds.,Chem. Res. Toxicol.,PUBLICATION,,,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCCN1c2ccccc2CCc2ccccc21
1463,CHEMBL11,BCGWQEUPMDMJNV-UHFFFAOYSA-N,IMIPRAMINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCCN1c2ccccc2CCc2ccccc21
