,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
59,HAEMSEOXEUXNRR-UHFFFAOYNA-N,CHEMBL1402049,1559,A,5.8,chembl20,737826,9606,CYP2C9,un28,S1C=2C(N=C1SCCN)=CC=CC2,NCCSc1nc2ccccc2s1
103,OUEHWWLIEPNPDR-UHFFFAOYNA-N,CHEMBL179529,1559,A,5.68,chembl20,305741,9606,CYP2C9,un28,S1C(=CC=C1NC)C2=CN=CC=C2,CNc1ccc(-c2cccnc2)s1
108,PKRPFYKLLXGKDE-UHFFFAOYNA-N,11993875,1559,A,6.30103,pubchem,272640,9606,CYP2C9,un28,S1C(C2=CC=CC=C2)=CC=C1CN,NCc1ccc(-c2ccccc2)s1
134,RSDOPYMFZBJHRL-UHFFFAOYNA-N,CHEMBL7634,1559,A,6.0,chembl20,688885,9606,CYP2C9,un28,C1CCN(C1)CC#CCN2CCCC2=O,O=C1CCCN1CC#CCN1CCCC1
164,XWLBYVXDCGYXGY-UHFFFAOYNA-N,CHEMBL1416389,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,ClC=1C(N(=O)=O)=C(O)C(Cl)=CC1Cl,O=[N+]([O-])c1c(O)c(Cl)cc(Cl)c1Cl
204,BJNQLHSVILWGSJ-UHFFFAOYNA-N,CHEMBL1332726,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,OCCCCC#CC1=C(N)C=CC=C1,Nc1ccccc1C#CCCCCO
211,CJAWPFJGFFNXQI-UHFFFAOYNA-N,CHEMBL269521,1559,A,5.7,chembl20,737826,9606,CYP2C9,un28,C1=C(N=C(C=N1)N2CCNCC2)Cl,Clc1cncc(N2CCNCC2)n1
218,CTDNYBZMTOMMOG-UHFFFAOYNA-N,CHEMBL1468265,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,ClC=1SN=NC1CNC=2C=CC(Cl)=CC2,Clc1ccc(NCc2nnsc2Cl)cc1
255,DIQWXENHCURRML-UHFFFAOYNA-N,CHEMBL179398,1559,N,4.26,chembl20,305741,9606,CYP2C9,un28,C=1(SC(C=O)=CC1)C2=CN=CC=C2,O=Cc1ccc(-c2cccnc2)s1
263,FDXBMBDPQZQHPH-UHFFFAOYNA-N,CHEMBL1322864,1559,A,5.8,chembl20,737826,9606,CYP2C9,un28,S1C=2C(N(C1=N)CCS)=CC=CC2,N=c1sc2ccccc2n1CCS
311,JHLIGYPHPBLDDL-UHFFFAOYNA-N,CHEMBL359657,1559,A,5.35,chembl20,412651,9606,CYP2C9,un28,C=1(SC(CN)=CC1)C2=CN=CC=C2,NCc1ccc(-c2cccnc2)s1
320,IUWVALYLNVXWKX-UHFFFAOYNA-N,CHEMBL127516,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,C(C=1C=CC(=CC1)N)(=O)OCCCC,CCCCOC(=O)c1ccc(N)cc1
329,HQHHWOJYOUTZHZ-UHFFFAOYNA-N,CHEMBL214859,1559,A,6.05,chembl20,412651,9606,CYP2C9,un28,C1=CC=CC(C2=CC=C(O2)CN)=C1,NCc1ccc(-c2ccccc2)o1
330,HQTBIZDUNOAXTD-UHFFFAOYNA-N,CHEMBL217125,1559,N,4.84,chembl20,412651,9606,CYP2C9,un28,C1=CN=CC(C2=NOC(=C2)CN)=C1,NCc1cc(-c2cccnc2)no1
359,LENAVORGWBTPJR-UHFFFAOYNA-N,CHEMBL178090,1559,A,5.23,chembl20,412651,9606,CYP2C9,un28,C1=CC=NC=C1C2=CC=C(O2)CN,NCc1ccc(-c2cccnc2)o1
377,MOUHHDAGMSAVOR-UHFFFAOYNA-N,CHEMBL1361698,1559,N,4.5,chembl20,737826,9606,CYP2C9,un28,S1C=2N(C(=O)C=C(OC)N2)CCC1,COc1cc(=O)n2c(n1)SCCC2
418,ODZNEEHDRHCTHC-UHFFFAOYNA-N,CHEMBL1328286,1559,A,5.7,chembl20,737826,9606,CYP2C9,un28,BrC1=CC=C(C=C1)CC(OCN)=O,NCOC(=O)Cc1ccc(Br)cc1
458,RBKCNBISIDBWKZ-UHFFFAOYNA-N,CHEMBL361364,1559,N,4.12,chembl20,305741,9606,CYP2C9,un28,N=1C(=CN(C1)CC)C2=CN=CC=C2,CCn1cnc(-c2cccnc2)c1
473,RFBVBRVVOPAAFS-UHFFFAOYNA-N,CHEMBL186872,1559,A,7.2,chembl20,737826,9606,CYP2C9,un28,C1N2C(C(C(C1)CC2)=O)(CO)CO,O=C1C2CCN(CC2)C1(CO)CO
498,VHFVKMTVMIZMIK-UHFFFAOYNA-N,CHEMBL478,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,N1(CCNCC1)C=2C=C(C=CC2)Cl,Clc1cccc(N2CCNCC2)c1
504,SUGXUUGGLDCZKB-UHFFFAOYNA-N,CHEMBL24983,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,C=1C=C2C(=CC1)C(=O)OC(=C2Cl)Cl,O=c1oc(Cl)c(Cl)c2ccccc12
575,WBOGFZDTCIQHSX-UHFFFAOYNA-N,CHEMBL1701700,1559,A,5.95,chembl20,737826,9606,CYP2C9,un28,O(C(=O)C=1NC(=C(C1C)C)C)CC,CCOC(=O)c1[nH]c(C)c(C)c1C
633,BGPFMXRXQPCZQA-UHFFFAOYNA-N,CHEMBL1399677,1559,A,5.6,chembl20,737826,9606,CYP2C9,un28,S1C=2N(N=C1CCCC)C(=N)CC(=O)N2,CCCCC1=NN2C(=N)CC(=O)N=C2S1
695,COAZFKKBVSGNML-BAINRFMONA-N,CHEMBL1403214,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,BrC=1C=CC(NC(=S)NCCC)=CC1,CCCNC(=S)Nc1ccc(Br)cc1
698,CQXADFVORZEARL-XWKXFZRBNA-N,CHEMBL289480,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,C1COC(=N1)NC(C2CC2)C3CC3,C1COC(NC(C2CC2)C2CC2)=N1
722,CUUHOYDMDHFMIY-UHFFFAOYNA-N,CHEMBL1609333,1559,A,6.15,chembl20,737826,9606,CYP2C9,un28,O=N(=O)C=1N2C(=NC1)C=CC(=C2)C,Cc1ccc2ncc([N+](=O)[O-])n2c1
742,DRCBZLVTEZFGJZ-BGGKNDAXNA-N,CHEMBL1456034,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,S1N=NN=C1NC=2C=CC(=CC2)C,Cc1ccc(Nc2nnns2)cc1
833,HSHNITRMYYLLCV-UHFFFAOYNA-N,CHEMBL12208,1559,N,4.9,chembl20,688885,9606,CYP2C9,un28,O1C=2C(C(=CC1=O)C)=CC=C(O)C2,Cc1cc(=O)oc2cc(O)ccc12
841,AINNARSDQRBELY-GIMVELNWNA-N,CHEMBL1579761,1559,A,5.6,chembl20,737826,9606,CYP2C9,un28,O1C=2C(OCC1C(=NO)N)=CC=CC2,NC(=NO)C1COc2ccccc2O1
845,ATGUVEKSASEFFO-UHFFFAOYNA-N,CHEMBL572203,1559,A,5.05,chembl20,737826,9606,CYP2C9,un28,N(C=1C=CC(N)=CC1)C=2C=CC=CC2,Nc1ccc(Nc2ccccc2)cc1
861,YHOLVZHNEDDOJS-UHFFFAOYNA-N,CHEMBL1741361,1559,A,5.55,chembl20,737826,9606,CYP2C9,un28,ClC=1C(=C(N2C=NC=C2)C=CC1)C#N,N#Cc1c(Cl)cccc1-n1ccnc1
1008,GLMNDKCXHHOKIQ-UHFFFAOYNA-N,CHEMBL214784,1559,A,6.4,chembl20,412651,9606,CYP2C9,un28,C=1C=NC=C(C2=CC=C(O2)CS)C1,SCc1ccc(-c2cccnc2)o1
1018,HZGGBKSHPDXANX-UHFFFAOYNA-N,CHEMBL1706260,1559,N,4.95,chembl20,737826,9606,CYP2C9,un28,OC=1N2N=CC(=C2N=C3C1CCCC3)C#N,N#Cc1cnn2c(O)c3c(nc12)CCCC3
1021,IABVMUQULUPMPA-NYYWCZLTNA-N,CHEMBL3211898,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,S1C(/C=N/N2C=NN=C2)=CC=C1C,Cc1ccc(/C=N/n2cnnc2)s1
1053,LZMHWZHOZLVYDL-UHFFFAOYNA-N,CHEMBL598952,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,C1=CC=C2N=CC=3N(C2=C1)C(ON3)=O,O=c1onc2cnc3ccccc3n12
1098,MDGMPFRIYUFRRX-UHFFFAOYNA-N,CHEMBL178938,1559,N,4.42,chembl20,412651,9606,CYP2C9,un28,C=1(C=CC=NC1)C2=CC=C(O2)CNC,CNCc1ccc(-c2cccnc2)o1
1182,NFCPRRWCTNLGSN-UHFFFAOYNA-N,CHEMBL1547352,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,N(C=1C(N)=CC=CC1)C=2C=CC=CC2,Nc1ccccc1Nc1ccccc1
1187,NGTDJJKTGRNNAU-ZETCQYMHNA-N,CHEMBL1416055,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,ClC(Cl)(Cl)[C@@H](O)CC1=CC=NC=C1,O[C@@H](Cc1ccncc1)C(Cl)(Cl)Cl
1200,MJVAVZPDRWSRRC-UHFFFAOYNA-N,CHEMBL590,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,C1(=O)C=C(C(=O)C2=CC=CC=C12)C,CC1=CC(=O)c2ccccc2C1=O
1221,QZAYGJVTTNCVMB-UHFFFAOYNA-N,CHEMBL39,1559,N,4.8,chembl20,737826,9606,CYP2C9,un28,OC1=CC2=C(C=C1)NC=C2CCN,NCCc1c[nH]c2ccc(O)cc12
1245,QDXBGNYSRCNQNM-WXRBYKJCNA-N,CHEMBL1386135,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,S1C(=CC2=C1CCC2)C(=O)NCCO,O=C(NCCO)c1cc2c(s1)CCC2
1270,QMINJWUSSJFQBR-UHFFFAOYNA-N,CHEMBL1405016,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,O1CCN(C=2N=CC=CC2N(=O)=O)CC1,O=[N+]([O-])c1cccnc1N1CCOCC1
