Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
XWYBIEFHCISIRV-UHFFFAOYNA-N,CHEMBL1513241,1559,A,6.2,chembl20,737826,9606,CYP2C9,un28,O=C1N(C=2N=C(N=CC2N=C1C3=CC(=CC=C3)C#N)N4CCNCC4)C5CC5,N#Cc1cccc(-c2nc3cnc(N4CCNCC4)nc3n(C3CC3)c2=O)c1
BQPCBRFOSWMALO-RVLWREAZNA-N,CHEMBL103313,1559,A,5.06,chembl20,51546,9606,CYP2C9,un28,N(=C/NC1=CC=C(C=C1)CCCC)\O,CCCCc1ccc(N/C=N/O)cc1
OMXGISKMOCGINK-GPQMBLKYNA-N,CHEMBL1427186,1559,N,4.7,chembl20,737826,9606,CYP2C9,un28,ClC1=C(C=2OC(=C(N2)CSCC(=O)NC3CC3)C)C=CC=C1,Cc1oc(-c2ccccc2Cl)nc1CSCC(=O)NC1CC1
RAOGUIYRSFJVCY-LILDFLRNNA-N,CHEMBL1313862,1559,N,4.6,chembl20,737826,9606,CYP2C9,un28,S(C1=NN2C(=NN=C2C=C1)C=3C=CC(F)=CC3)CC(=O)NC4=NOC(=C4)C,Cc1cc(NC(=O)CSc2ccc3nnc(-c4ccc(F)cc4)n3n2)no1
AFIBHUSAXJIJHX-MPIMZMORNA-N,CHEMBL1480806,1559,A,6.1,chembl20,737826,9606,CYP2C9,un28,ClC1=C(C=2C=C3C(N=CN=C3NCC4=CN=CC=C4)=CC2)C=CC=C1,Clc1ccccc1-c1ccc2ncnc(NCc3cccnc3)c2c1
JMOWXLPURTUBKW-MPIMZMORNA-N,CHEMBL1437364,1559,A,6.6,chembl20,737826,9606,CYP2C9,un28,O=C1N(C=2N=C(N=CC2N=C1)NC=3C=CC=CC3)CCC4=CC=CC=C4,O=c1cnc2cnc(Nc3ccccc3)nc2n1CCc1ccccc1
AZLFXTDKWCBSKH-SPUFAXQBNA-N,CHEMBL100899,1559,N,4.96,chembl20,51546,9606,CYP2C9,un28,N(=C/NC=1C=CC(=CC1)C(CC)C)\O,CCC(C)c1ccc(N/C=N/O)cc1
VGJSWDDTANDUTJ-UHFFFAOYNA-N,CHEMBL1361725,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(N1CCC2(CC1)CN(CCC2)CC3=CC=C(C=C3)C#N)C4=CC=CC=C4,N#Cc1ccc(CN2CCCC3(CCN(S(=O)(=O)c4ccccc4)CC3)C2)cc1
CLTWZERGIYDXHV-UHFFFAOYNA-N,CHEMBL1438677,1559,A,5.3,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(C1=CC=C(C=C1)C)CCCS(=O)(=O)C2=CC=C(C=C2)C,Cc1ccc(S(=O)(=O)CCCS(=O)(=O)c2ccc(C)cc2)cc1
ICYNHFBKDCOUDJ-IVZQRWTBNA-N,CHEMBL1479771,1559,A,5.4,chembl20,737826,9606,CYP2C9,un28,O=C(NC(C1=CC=CC=C1)/C=C/CCCC)C=2C=CC(=CC2)C(OC)=O,CCCC/C=C/C(NC(=O)c1ccc(C(=O)OC)cc1)c1ccccc1
CIXVTQBZSGIERE-UHFFFAOYNA-N,CHEMBL1410452,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,ClC=1C(COC=2C(OC)=CC(=CC2)CNCCN3CCOCC3)=CC=CC1,COc1cc(CNCCN2CCOCC2)ccc1OCc1ccccc1Cl
ACIIQTAQRBVJEZ-UHFFFAOYNA-N,CHEMBL1594271,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,S1C2=C([N+]3=C(C2O)CC=C3)C(C4=CC=C(OC)C=C4)=C1,COc1ccc(-c2csc3c2[N+]2=C(CC=C2)C3O)cc1
DIVNKPFJAVQFJM-UHFFFAOYNA-N,CHEMBL358214,1559,N,4.99,chembl20,51532,9606,CYP2C9,un28,N1(C(=NC=C1)C)C=2C=CC(=CC2)OCCCC,CCCCOc1ccc(-n2ccnc2C)cc1
YQNWZWMKLDQSAC-UHFFFAOYNA-N,CHEMBL2204360,1559,N,4.41,chembl20,880249,9606,CYP2C9,un28,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=CC(=CC3)C)C,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
FIOBDPCCLWNSCI-MPIMZMORNA-N,CHEMBL1479106,1559,A,5.35,chembl20,737826,9606,CYP2C9,un28,S1C(N2CC(C(=O)NCCCN3CCN(CC3)C)CCC2)=NC=4C1=CC(OC)=CC4,COc1ccc2nc(N3CCCC(C(=O)NCCCN4CCN(C)CC4)C3)sc2c1
FPGLRERKARMPJL-QLJNEMMGNA-N,CHEMBL3192412,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,S\1/C(/N(C(=O)/C1=C/C=2SC(=CC2)C)CCC)=N/C3=CC=C(OC)C=C3,CCCN1C(=O)/C(=C/c2ccc(C)s2)S/C1=N/c1ccc(OC)cc1
HJMQDJPMQIHLPB-HCKMINDGNA-N,CHEMBL313842,1559,A,6.0,chembl20,737826,9606,CYP2C9,un28,OC1=NN=C(C=C1)C2=CC(=C(C=C2)OC(F)F)OC,COc1cc(-c2ccc(O)nn2)ccc1OC(F)F
NSHMDJHUJARRMX-TXSGWPFENA-N,CHEMBL1360672,1559,A,5.2,chembl20,737826,9606,CYP2C9,un28,ClC=1C=CC(NC(=S)NNC(=O)C=2N(N=C(C2N(=O)=O)C)C)=CC1,Cc1nn(C)c(C(=O)NNC(=S)Nc2ccc(Cl)cc2)c1[N+](=O)[O-]
NMQYKJQTOYRUHG-MPIMZMORNA-N,CHEMBL1589049,1559,A,5.5,chembl20,737826,9606,CYP2C9,un28,O=C(NC1=C(C=CC(=C1)C)C)C2C3C(C2CCC3)C4=CC=CC=C4,Cc1ccc(C)c(NC(=O)C2C3CCCC2C3c2ccccc2)c1
FZTHRNFPVUIJJD-UHFFFAOYNA-N,CHEMBL1331154,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,O1CCN(C2=NC=C(N(=O)=O)C(=C2)C)CC1,Cc1cc(N2CCOCC2)ncc1[N+](=O)[O-]
DMZJVFFZWWDPCI-UHFFFAOYNA-N,CHEMBL1425899,1559,N,4.95,chembl20,737826,9606,CYP2C9,un28,ClC1=CC(OC=2N=C(N=CC2C(OCC)=O)C3=CC=CC=C3)=CC=C1,CCOC(=O)c1cnc(-c2ccccc2)nc1Oc1cccc(Cl)c1
HMWLUAZJHKRMQM-UHFFFAOYNA-N,CHEMBL1483972,1559,A,6.15,chembl20,737826,9606,CYP2C9,un28,S(=O)(=O)(C1=C2N(N=C1)C(C(F)(F)F)=CC(=N2)C=3C=CC=CC3)C4=CC=CC=C4,O=S(=O)(c1ccccc1)c1cnn2c(C(F)(F)F)cc(-c3ccccc3)nc12
QBXIGUJIZJQJQP-YHMJCDSINA-N,CHEMBL150999,1559,N,4.57,chembl20,51532,9606,CYP2C9,un28,C1(=NC=CN1)C2=CC=C(C=C2)OCCCC,CCCCOc1ccc(-c2ncc[nH]2)cc1
NAKPTCJEUFGRFS-VUEOKQGPNA-N,CHEMBL1417581,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,S1C=2C(N=C1NC3=NCN(C4CCCCCC4)CN3)=CC=CC2,c1ccc2sc(NC3=NCN(C4CCCCCC4)CN3)nc2c1
LPEPZBJOKDYZAD-LILDFLRNNA-N,CHEMBL23588,1559,A,5.0,chembl20,737826,9606,CYP2C9,un28,C=1(C=CC=CC1NC=2C=C(C=CC2)C(F)(F)F)C(=O)O,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
LJWJBMVGSLJWBD-UHFFFAOYNA-N,CHEMBL1484990,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,ClC1=CC=C(N2C(N3C(C2=O)CCC3)C=4C(F)=CC=CC4)C=C1,O=C1C2CCCN2C(c2ccccc2F)N1c1ccc(Cl)cc1
BDBQDRWVUVQCIA-LNNLXFCONA-N,CHEMBL1742217,1559,N,4.85,chembl20,737826,9606,CYP2C9,un28,FC(F)(F)C1N2N=CC(=C2NC(C1)C3=CC(OC)=CC=C3)C(=O)NC(C)(C)C,COc1cccc(C2CC(C(F)(F)F)n3ncc(C(=O)NC(C)(C)C)c3N2)c1
CBPTZQXBTXUKSD-MUFRBBCQNA-N,CHEMBL1431337,1559,N,4.75,chembl20,737826,9606,CYP2C9,un28,ClC=1C(N2C=3C(C(=C2)/C=C/C(O)=O)=CC=CC3)=NC=C(C1)C(F)(F)F,O=C(O)/C=C/c1cn(-c2ncc(C(F)(F)F)cc2Cl)c2ccccc12
YFKQZRPELFJXIE-UHFFFAOYNA-N,CHEMBL1506056,1559,A,6.05,chembl20,737826,9606,CYP2C9,un28,S1C(C2C(=C(N=C(C2C(OCC)=O)C)C)C(OCC)=O)=C(C=C1)C,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1sccc1C
MUSIUABUSKETPW-JTEAFZDYNA-N,CHEMBL1447487,1559,A,5.3,chembl20,737826,9606,CYP2C9,un28,S1C(NC(=O)/C=C/C=2C=C3OCOC3=CC2)=C(C(=C1C)CC)C(OCC)=O,CCOC(=O)c1c(NC(=O)/C=C/c2ccc3c(c2)OCO3)sc(C)c1CC
ZNIQGOSLXCIOQP-UHFFFAOYNA-N,CHEMBL1784702,1559,A,5.8,chembl20,752251,9606,CYP2C9,un28,C1(C(=O)OC)=CC(NS(=O)(C2=CC=C(C=C2)C)=O)=C(C=C1)C,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(C)cc2)c1
HWTOQRBVSYTBON-WXRBYKJCNA-N,CHEMBL1326688,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,O=C(NC1=NOC(=C1)C)C=2N(N=CC2N(=O)=O)C,Cc1cc(NC(=O)c2c([N+](=O)[O-])cnn2C)no1
MGXGEFQCJBBKND-UNZYHPAINA-N,CHEMBL482409,1559,A,6.0,chembl20,497351,9606,CYP2C9,un28,C/1(=C/C=2C=CC(=CC2)O)\C(/C(/CCC1)=C/C3=CC=C(C=C3)O)=O,O=C1/C(=C/c2ccc(O)cc2)CCC/C1=C\c1ccc(O)cc1
WFTVUGVHPITTCI-UHFFFAOYNA-N,CHEMBL1314172,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,O=C(N1CCC2(CN(C2)C3=CC=CC=C3)CC1)C=4C=CC(OC)=CC4,COc1ccc(C(=O)N2CCC3(CC2)CN(c2ccccc2)C3)cc1
LMTHTRSFBFLKNZ-UHFFFAOYNA-N,CHEMBL1312648,1559,A,5.85,chembl20,737826,9606,CYP2C9,un28,ClC1=CC=C(C(C2=NC=3C(N=C2C(F)(F)F)=CC=CC3)C#N)C=C1,N#CC(c1ccc(Cl)cc1)c1nc2ccccc2nc1C(F)(F)F
QGOWCBHLSJOYLX-XWKXFZRBNA-N,CHEMBL1741649,1559,A,6.95,chembl20,737826,9606,CYP2C9,un28,O1C(=C(C(=CC1=O)C)C(=O)NCCC)C,CCCNC(=O)c1c(C)cc(=O)oc1C
XKVMGWGZVAIXEG-HXTKINSTNA-N,CHEMBL1331745,1559,N,4.9,chembl20,737826,9606,CYP2C9,un28,O=C(N1CCC(CC1)C(=O)NCCC2=CCCCC2)C=3C=CC(C(C)(C)C)=CC3,CC(C)(C)c1ccc(C(=O)N2CCC(C(=O)NCCC3=CCCCC3)CC2)cc1
LHLXXPZNGGZUDT-WPZMZKEFNA-N,CHEMBL1374696,1559,A,5.1,chembl20,737826,9606,CYP2C9,un28,FC(F)(F)C=1C=C(OC(=O)NC(C2=CC=CC=C2)/C=C/CCCC)C=CC1,CCCC/C=C/C(NC(=O)Oc1cccc(C(F)(F)F)c1)c1ccccc1
LCMXPLAGUSRWGG-UHFFFAOYNA-N,CHEMBL1399842,1559,N,4.4,chembl20,737826,9606,CYP2C9,un28,O1N=C(N=C1COC2=CC=C(OCC=3ON=C(N3)C)C=C2)C,Cc1noc(COc2ccc(OCc3nc(C)no3)cc2)n1
